timestamp,ALTITUDE.time_usec,ALTITUDE.altitude_monotonic,ALTITUDE.altitude_amsl,ALTITUDE.altitude_local,ALTITUDE.altitude_relative,ALTITUDE.altitude_terrain,ALTITUDE.bottom_clearance
1631219355.22399998,108197567,82.70988464355469,123.06752014160156,4.641602039337158,4.737371921539307,nan,nan
1631219356.80299997,109800125,82.96090698242188,123.01750183105469,4.591582775115967,4.687352657318115,nan,nan
1631219358.47700000,111387595,82.68875122070312,122.96444702148438,4.538525104522705,4.6342949867248535,nan,nan
1631219360.00699997,112985055,82.68875122070312,122.9487533569336,4.522831439971924,4.618601322174072,nan,nan
1631219361.59599996,114585355,82.87635803222656,123.02452087402344,4.598603248596191,4.69437313079834,nan,nan
1631219363.15999985,116171464,82.79180145263672,123.08699035644531,4.661072254180908,4.756842136383057,nan,nan
1631219364.75799990,117774543,82.62532806396484,123.02314758300781,4.597229957580566,4.692999839782715,nan,nan
1631219366.33500004,119366500,83.10887908935547,123.11568450927734,4.689762592315674,4.785532474517822,nan,nan
1631219367.95400000,120959514,83.33876037597656,123.24270629882812,4.81678581237793,4.912555694580078,nan,nan
1631219369.56799984,122557571,83.52635955810547,123.25784301757812,4.8319268226623535,4.927696704864502,nan,nan
1631219371.12500000,124148008,82.93976593017578,123.2533950805664,4.827479362487793,4.923249244689941,nan,nan
1631219372.77499986,125747464,82.93976593017578,123.1581039428711,4.7321858406066895,4.827955722808838,nan,nan
1631219374.39599991,127345060,82.89749145507812,123.2477798461914,4.821864604949951,4.9176344871521,nan,nan
1631219375.98499990,128936234,83.13001251220703,123.265869140625,4.839949607849121,4.9357194900512695,nan,nan
1631219377.49199986,130535066,82.77330780029297,123.28974151611328,4.8638200759887695,4.959589958190918,nan,nan
1631219379.09399986,132129526,83.17228698730469,123.32715606689453,4.901240348815918,4.997010231018066,nan,nan
1631219380.67899990,133717681,82.91863250732422,123.34588623046875,4.919970512390137,5.015740394592285,nan,nan
1631219382.35200000,135318917,83.02432250976562,123.34321594238281,4.917296886444092,5.01306676864624,nan,nan
1631219383.89100003,136907552,82.96090698242188,123.31314086914062,4.887222766876221,4.982992649078369,nan,nan
1631219386.25999999,138505720,83.317626953125,123.28439331054688,4.85847282409668,4.954242706298828,nan,nan
1631219388.30199981,140108384,82.77330780029297,123.30525207519531,4.879335880279541,4.9751057624816895,nan,nan
1631219388.70700002,141695247,82.79180145263672,123.2254638671875,4.799546241760254,4.895316123962402,nan,nan
1631219390.26199985,143294563,83.10887908935547,123.2724609375,4.846545696258545,4.942315578460693,nan,nan
1631219391.90899992,144887212,83.23307037353516,123.32304382324219,4.897128582000732,4.992898464202881,nan,nan
1631219393.49000001,146485764,83.15115356445312,123.31635284423828,4.8904337882995605,4.986203670501709,nan,nan
1631219395.07399988,148077641,83.23307037353516,123.34542083740234,4.919500827789307,5.015270709991455,nan,nan
1631219396.66499996,149674474,83.00318908691406,123.35742950439453,4.9315080642700195,5.027277946472168,nan,nan
1631219398.22299981,151267963,83.12737274169922,123.34080505371094,4.914885520935059,5.010655403137207,nan,nan
1631219399.85800004,152866491,82.91863250732422,123.32067108154297,4.894753456115723,4.990523338317871,nan,nan
1631219401.46199989,154455638,83.02432250976562,123.3419189453125,4.9159979820251465,5.011767864227295,nan,nan
1631219403.05499983,156052473,83.06659698486328,123.31748962402344,4.891568183898926,4.987338066101074,nan,nan
1631219404.68400002,157647752,83.33876037597656,123.34624481201172,4.920324325561523,5.016094207763672,nan,nan
1631219406.24799991,159245700,83.13001251220703,123.3491439819336,4.923228740692139,5.018998622894287,nan,nan
1631219407.80299997,160836546,83.21192932128906,123.34296417236328,4.91704797744751,5.012817859649658,nan,nan
1631219409.43299985,162437466,83.17228698730469,123.33045196533203,4.904530048370361,5.00029993057251,nan,nan
1631219411.02499986,164025924,83.44445037841797,123.35699462890625,4.931079864501953,5.026849746704102,nan,nan
1631219412.64100003,165625260,82.89749145507812,123.32852172851562,4.902600288391113,4.998370170593262,nan,nan
1631219414.21799994,167216732,82.68875122070312,123.29324340820312,4.867323398590088,4.963093280792236,nan,nan
1631219415.82799983,168811614,82.79180145263672,123.3183822631836,4.892465114593506,4.988234996795654,nan,nan
1631219417.44400001,170417262,82.96090698242188,123.2869644165039,4.861042499542236,4.956812381744385,nan,nan
1631219419.05399990,172004668,83.10887908935547,123.29358673095703,4.867664813995361,4.96343469619751,nan,nan
1631219420.58699989,173596464,83.00318908691406,123.28251647949219,4.856594085693359,4.952363967895508,nan,nan
1631219422.19199991,175196854,83.52635955810547,123.36084747314453,4.934926509857178,5.030696392059326,nan,nan
1631219423.81900001,176787618,83.4233169555664,123.4104995727539,4.98458194732666,5.080351829528809,nan,nan
1631219425.36199999,178397184,83.67433166503906,123.40729522705078,4.981374263763428,5.077144145965576,nan,nan
1631219427.00399995,179978921,83.27534484863281,123.37380981445312,4.947890758514404,5.043660640716553,nan,nan
1631219428.58999991,181576464,83.17228698730469,123.27696228027344,4.8510422706604,4.946812152862549,nan,nan
1631219430.13399982,183167506,83.25420379638672,123.29296112060547,4.86704158782959,4.962811470031738,nan,nan
1631219431.79499984,184764993,83.35989379882812,123.37914276123047,4.953224182128906,5.048994064331055,nan,nan
1631219433.32200003,186356604,83.12737274169922,123.34689331054688,4.920977592468262,5.01674747467041,nan,nan
1631219434.92499995,187954539,83.44445037841797,123.38552856445312,4.959613800048828,5.055383682250977,nan,nan
1631219436.55599999,189553122,83.23307037353516,123.35626983642578,4.930353164672852,5.026123046875,nan,nan
1631219438.20400000,191147467,83.35989379882812,123.38955688476562,4.9636383056640625,5.059408187866211,nan,nan
1631219439.68700004,192737887,83.29647827148438,123.3834457397461,4.9575300216674805,5.053299903869629,nan,nan
1631219441.30199981,194334688,83.15115356445312,123.3758544921875,4.949937343597412,5.0457072257995605,nan,nan
1631219442.93199992,195936871,83.02432250976562,123.30450439453125,4.8785858154296875,4.974355697631836,nan,nan
1631219444.49699998,197523853,82.85520935058594,123.34329223632812,4.917374610900879,5.013144493103027,nan,nan
1631219446.09899998,199121854,83.27534484863281,123.36550903320312,4.939591884613037,5.0353617668151855,nan,nan
1631219447.70299983,200717007,82.81558227539062,123.35155487060547,4.925633430480957,5.0214033126831055,nan,nan
