timestamp,SERVO_OUTPUT_RAW.time_usec,SERVO_OUTPUT_RAW.port,SERVO_OUTPUT_RAW.servo1_raw,SERVO_OUTPUT_RAW.servo2_raw,SERVO_OUTPUT_RAW.servo3_raw,SERVO_OUTPUT_RAW.servo4_raw,SERVO_OUTPUT_RAW.servo5_raw,SERVO_OUTPUT_RAW.servo6_raw,SERVO_OUTPUT_RAW.servo7_raw,SERVO_OUTPUT_RAW.servo8_raw,SERVO_OUTPUT_RAW.servo9_raw,SERVO_OUTPUT_RAW.servo10_raw,SERVO_OUTPUT_RAW.servo11_raw,SERVO_OUTPUT_RAW.servo12_raw,SERVO_OUTPUT_RAW.servo13_raw,SERVO_OUTPUT_RAW.servo14_raw,SERVO_OUTPUT_RAW.servo15_raw,SERVO_OUTPUT_RAW.servo16_raw
1631219380.73699999,133721177,0,1516,1487,1562,1514,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219382.36800003,135297964,0,1426,1486,1500,1550,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219383.95599985,136900645,0,1480,1496,1507,1541,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219386.25999999,138505617,0,1492,1474,1491,1549,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219388.30199981,140092663,0,1472,1474,1512,1555,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219388.72299981,141689643,0,1478,1519,1536,1529,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219390.27799988,143284381,0,1500,1546,1492,1491,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219391.95099998,144876560,0,1477,1513,1518,1532,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219393.51600003,146467763,0,1477,1478,1546,1566,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219395.09999990,148077286,0,1430,1448,1562,1600,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219396.72199988,149663615,0,1480,1477,1495,1568,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219398.30799985,151253547,0,1459,1519,1515,1533,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219399.92199993,152855780,0,1458,1515,1513,1547,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219401.52600002,154436992,0,1485,1507,1494,1560,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219403.08099985,156037878,0,1486,1504,1489,1570,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219404.68400002,157627167,0,1470,1491,1492,1564,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219406.30399990,159227028,0,1509,1541,1463,1520,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219407.85099983,160818912,0,1479,1494,1500,1576,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219409.45899987,162424289,0,1470,1506,1495,1562,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219411.06699991,164027305,0,1465,1502,1492,1558,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219412.64100003,165611911,0,1489,1510,1492,1569,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219414.24899983,167206908,0,1545,1558,1441,1515,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219415.82799983,168812880,0,1436,1448,1538,1597,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219417.47299981,170393459,0,1482,1577,1464,1516,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219419.08599997,171985430,0,1465,1504,1491,1566,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219420.62899995,173587334,0,1453,1530,1508,1551,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219422.20799994,175196720,0,1442,1530,1513,1533,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219423.86699986,176775879,0,1523,1613,1439,1471,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219425.40699983,178383041,0,1496,1481,1427,1622,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219427.03399992,179962444,0,1505,1499,1487,1582,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219428.61599994,181568920,0,1473,1538,1519,1564,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219430.18199992,183163320,0,1507,1554,1447,1538,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219431.81099987,184749602,0,1518,1554,1458,1555,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219433.35399985,186364503,0,1484,1518,1497,1588,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219434.97199988,187942190,0,1464,1527,1491,1571,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219436.58799982,189534753,0,1470,1523,1481,1585,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219438.20400000,191137877,0,1445,1525,1502,1570,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219439.74499989,192729319,0,1483,1572,1457,1528,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219441.35899997,194317103,0,1466,1526,1490,1578,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219442.96399999,195925278,0,1470,1541,1513,1573,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219444.52900004,197521757,0,1481,1520,1488,1579,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219446.13599992,199100484,0,1491,1524,1498,1580,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219447.76099992,200701037,0,1483,1534,1504,1582,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219449.33500004,202293567,0,1493,1505,1470,1589,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219450.93099999,203900427,0,1481,1514,1485,1586,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219452.52799988,205501072,0,1508,1553,1451,1540,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219454.18099999,207086981,0,1515,1562,1471,1540,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219455.71899986,208695769,0,1533,1552,1471,1592,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219457.38100004,210281339,0,1461,1524,1505,1548,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219458.93499994,211876335,0,1476,1513,1502,1579,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219460.54799986,213471947,0,1436,1453,1560,1638,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219462.11299992,215054113,0,1414,1561,1552,1548,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219463.70199990,216660474,0,1460,1536,1529,1563,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219465.35299993,218246797,0,1450,1552,1499,1585,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219466.86699986,219856164,0,1466,1491,1468,1610,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219468.49300003,221456547,0,1455,1510,1491,1592,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219470.08200002,223046168,0,1435,1537,1505,1592,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219471.69099998,224630388,0,1443,1515,1541,1590,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219473.27199984,226239293,0,1511,1499,1512,1560,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219476.42400002,227829834,0,1485,1526,1541,1550,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219476.58699989,229422396,0,1492,1523,1542,1560,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219478.05299997,231016866,0,1546,1550,1496,1542,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219479.64499998,232600633,0,1514,1564,1515,1505,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219481.24399996,234197032,0,1541,1587,1514,1505,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219482.82699990,235807434,0,1470,1529,1541,1559,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219484.46099997,237407087,0,1543,1543,1495,1523,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219486.00899982,239001656,0,1498,1530,1543,1552,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219487.60999990,240593867,0,1493,1522,1524,1570,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219489.20599985,242190430,0,1472,1522,1546,1575,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219490.81699991,243786222,0,1481,1551,1545,1565,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219492.40100002,245374080,0,1484,1545,1564,1547,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219494.00199986,246975618,0,1535,1571,1527,1510,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219495.58999991,248555991,0,1537,1491,1549,1547,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219497.18299985,250163075,0,1521,1511,1545,1573,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219498.77600002,251745355,0,1488,1533,1558,1550,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219500.42799997,253346491,0,1500,1506,1534,1575,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219501.98199987,254945175,0,1497,1507,1548,1575,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219503.61099982,256535729,0,1462,1506,1554,1568,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219505.21199989,258123496,0,1455,1529,1558,1589,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219506.82399988,259727578,0,1481,1546,1535,1565,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219508.33599997,261319324,0,1463,1563,1551,1549,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219509.96599984,262911261,0,1429,1538,1513,1601,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219511.56799984,264518053,0,1476,1552,1506,1598,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219513.13299990,266103250,0,1479,1545,1508,1607,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219514.73199987,267703591,0,1450,1553,1521,1584,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219516.33799982,269303190,0,1487,1545,1503,1597,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219517.91100001,270890051,0,1528,1554,1445,1575,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219519.50799990,272499150,0,1477,1552,1527,1581,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219521.10699987,274091791,0,1503,1612,1488,1542,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219522.74000001,275674126,0,1516,1437,1552,1611,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219524.33799982,277283540,0,1528,1509,1507,1597,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219525.94199991,278875169,0,1505,1532,1517,1588,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219527.55900002,280471073,0,1502,1523,1513,1584,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219529.11199999,282060976,0,1504,1524,1514,1586,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219530.77499986,283665900,0,1546,1556,1482,1559,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219532.30599999,285254370,0,1508,1525,1512,1584,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219533.88699985,286838825,0,1497,1535,1508,1583,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219535.48599982,288440018,0,1543,1553,1470,1567,1512,1512,900,900,0,0,0,0,0,0,0,0
1631219537.06499982,290035558,0,1545,1552,1457,1567,1512,1512,900,900,0,0,0,0,0,0,0,0
